const_price,const_units
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
153312.1415130657,415.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
3703156.027548969,770.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
4674777.35431376,217.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
878058.978584396,832.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
7806723.141487276,2.0
